--- Typography Audit ---
body                                     | Size: var(--font-size-base)     | Family: var(--font-family-base)
.btn                                     | Size: 1rem                      | Family: N/A
.btn-outline-primary                     | Size: 1rem                      | Family: N/A
.btn-hotpepper                           | Size: 1.15rem                   | Family: N/A
.btn-google                              | Size: 1.15rem                   | Family: N/A
.header-nav a                            | Size: 0.9rem                    | Family: N/A
.header-actions .btn                     | Size: 0.9rem                    | Family: N/A
.hero-content .main-message              | Size: clamp(2rem, 3.5vw, 3.2rem) | Family: N/A
.hero-content .sub-message               | Size: 1.1rem                    | Family: N/A
.hero-content .sub-message strong        | Size: 1.4rem                    | Family: N/A
.hero-lead-text                          | Size: 1rem                      | Family: N/A
.hero-actions .btn                       | Size: 1rem                      | Family: N/A
.hero-note                               | Size: 0.95rem                   | Family: N/A
.hero-note strong                        | Size: 1.6rem                    | Family: N/A
.about-content h2,
.about-content h3     | Size: 1.45rem                   | Family: N/A
.about-content p                         | Size: 1.10rem                   | Family: N/A
.worries-title                           | Size: clamp(1.8rem, 3vw, 2.4rem) | Family: N/A
.speech-bubble li                        | Size: 0.95rem                   | Family: N/A
.persona-label                           | Size: 0.9rem                    | Family: N/A
.catchy-message                          | Size: clamp(1.4rem, 2.5vw, 1.8rem) | Family: N/A
.action-lead                             | Size: 1rem                      | Family: N/A
.closing-action .btn-web                 | Size: 1.2rem                    | Family: N/A
#policy h2                               | Size: 1.8rem                    | Family: N/A
#policy h2                               | Size: 1.9rem                    | Family: N/A
.policy-lead                             | Size: 1rem                      | Family: N/A
.policy-icon                             | Size: 1.15rem                   | Family: N/A
.policy-card h3                          | Size: 1.15rem                   | Family: N/A
.policy-strong                           | Size: 1.05rem                   | Family: N/A
.worries-title                           | Size: 2rem                      | Family: N/A
.worries-lead                            | Size: 1.05rem                   | Family: N/A
}

.worries-list-large li                | Size: 1.1rem                    | Family: N/A
.worries-list-large li::before           | Size: 1.35rem                   | Family: N/A
.worries-card-sub                        | Size: 0.95rem                   | Family: N/A
.pricing-card h3                         | Size: 1.1rem                    | Family: N/A
.price-highlight-small                   | Size: 0.95rem                   | Family: N/A
.price-highlight-main                    | Size: 2rem                      | Family: N/A
.price-highlight-main-sub                | Size: 2rem                      | Family: N/A
.price-normal                            | Size: 0.85rem                   | Family: N/A
.badge                                   | Size: 0.9rem                    | Family: N/A
.step-label                              | Size: 1.05rem                   | Family: N/A
.step-badge                              | Size: 0.95rem                   | Family: N/A
.step-badge i                            | Size: 1.1rem                    | Family: N/A
.step-details h3                         | Size: 1.25rem                   | Family: N/A
.step-details p                          | Size: 0.95rem                   | Family: N/A
.step-details strong                     | Size: 1.05rem                   | Family: N/A
.trainer-card h3                         | Size: 1.2rem                    | Family: N/A
.trainer-card p                          | Size: 0.95rem                   | Family: N/A
.review-quote                            | Size: 1rem                      | Family: N/A
.review-user                             | Size: 0.85rem                   | Family: N/A
.review-detail-label                     | Size: 1rem                      | Family: N/A
.review-detail-value                     | Size: 0.95rem                   | Family: N/A
.feedback-heading                        | Size: 1rem                      | Family: N/A
